index,shape-type,vertex-index,axis-0,axis-1,axis-2
125,line,1,28.0,3762.5742,1989.0918
126,line,0,28.0,560.7486,3337.7876
126,line,1,28.0,810.3102,3842.2214
127,line,0,29.0,2052.8098,157.20184
127,line,1,29.0,2052.8098,1866.9648
128,line,0,29.0,4065.234,1898.8248
128,line,1,29.0,3528.9426,2695.2996
129,line,0,29.0,1192.6179,3088.2258
129,line,1,29.0,1739.5295,3576.7305
130,line,0,30.0,826.2399,1335.9833
130,line,1,30.0,1118.2803,1978.4722
131,line,0,30.0,1192.6179,2036.8802
131,line,1,30.0,2822.7354,2180.2449
132,line,0,31.0,3523.6316,406.76367
132,line,1,31.0,2748.3967,767.8319
133,line,0,31.0,2732.4675,847.47925
133,line,1,31.0,2265.2026,2472.2856
134,line,0,31.0,1861.656,1750.1497
134,line,1,31.0,2360.7793,2084.6687
135,line,0,31.0,2445.7368,2174.9358
135,line,1,31.0,2716.5354,2764.3254
136,line,0,31.0,2366.0896,2297.0618
136,line,1,31.0,2695.2986,2913.002
137,line,0,31.0,2063.4294,1654.5728
137,line,1,31.0,1304.125,1989.0919
138,line,0,31.0,2084.6687,2695.2988
138,line,1,31.0,1580.2358,3120.0864
139,line,0,32.0,486.41104,66.93479
139,line,1,32.0,2955.4814,1909.4446
140,line,0,32.0,3019.198,1957.2329
140,line,1,32.0,3560.8,2589.102
141,line,0,32.0,3035.1277,1686.4318
141,line,1,32.0,3624.5178,2482.906
142,line,0,32.0,3173.183,1665.1925
142,line,1,32.0,3629.8276,2318.3005
143,line,0,32.0,3072.2964,2541.3137
143,line,1,32.0,3284.6895,3343.0977
144,line,0,32.0,3656.3772,3003.2686
144,line,1,32.0,2217.4138,3109.4634
145,line,0,32.0,3836.9114,2769.6362
145,line,1,32.0,3316.5498,3369.649
146,line,0,32.0,2164.3162,3146.634
146,line,1,32.0,1957.2323,3348.4075
147,line,0,33.0,258.08853,1463.4191
147,line,1,33.0,19.146286,2042.1904
148,line,0,33.0,2700.6086,852.78906
148,line,1,33.0,2461.6667,1723.6001
149,line,0,33.0,2429.8074,1755.4595
149,line,1,33.0,1649.2642,2530.6943
150,line,0,33.0,2397.9485,2790.8755
150,line,1,33.0,2658.13,3300.619
151,line,0,34.0,1261.6456,1957.2329
151,line,1,34.0,911.19714,2196.175
152,line,0,34.0,884.648,2238.6536
152,line,1,34.0,624.4665,2737.7778
153,line,0,34.0,1240.4064,900.5775
153,line,1,34.0,2440.4287,1415.6299
154,line,0,34.0,2275.8225,327.11627
154,line,1,34.0,1962.5452,1197.9277
155,line,0,34.0,1197.9277,327.11627
155,line,1,34.0,948.36584,720.0432
156,line,0,35.0,2084.6687,3751.954
156,line,1,35.0,1452.7983,2233.344
157,line,0,35.0,1373.152,2169.626
157,line,1,35.0,1075.802,1803.247
158,line,0,35.0,1006.774,1771.3889
158,line,1,35.0,66.93451,1309.4346
159,line,0,35.0,2382.019,916.50696
159,line,1,35.0,2201.4856,2594.411
160,line,0,35.0,2642.2004,826.2399
160,line,1,35.0,3513.012,2105.9082
161,line,0,35.0,1723.6006,45.695488
161,line,1,35.0,1235.0964,534.1995
162,line,0,36.0,1304.1243,1351.9127
162,line,1,36.0,2307.6821,2376.7095
163,line,0,37.0,459.86194,1489.9681
163,line,1,37.0,1973.1625,2790.8743
164,line,0,37.0,1718.2908,1022.7035
164,line,1,37.0,3236.8997,1022.7035
165,line,0,37.0,3236.901,608.53705
165,line,1,37.0,3629.8296,2944.8599
166,line,0,37.0,3077.6062,3088.2258
166,line,1,37.0,3720.0955,4075.8538
167,line,0,37.0,581.9879,2472.2861
167,line,1,37.0,19.146301,2636.8909
168,line,0,37.0,2780.2559,2997.9587
168,line,1,37.0,2047.501,3167.872
169,line,0,38.0,2036.8802,1325.3635
169,line,1,38.0,1909.4446,2806.8042
170,line,0,38.0,1983.782,4059.924
170,line,1,38.0,1442.1794,3783.812
171,line,0,38.0,1043.9427,45.695488
171,line,1,38.0,465.1718,470.48154
172,line,0,39.0,316.4966,921.8168
172,line,1,39.0,3.2167664,1564.3062
173,line,0,39.0,2190.8652,1511.2075
173,line,1,39.0,2159.0063,2424.4988
174,line,0,39.0,2084.6687,2440.427
174,line,1,39.0,2652.8188,3125.3955
175,line,0,40.0,1558.996,2265.203
175,line,1,40.0,693.49445,2897.0708
176,line,0,40.0,2132.457,3019.198
176,line,1,40.0,1489.9683,3019.198
177,line,0,40.0,1643.9531,2074.049
177,line,1,40.0,406.76318,1712.9806
178,line,0,40.0,295.25732,1558.996
178,line,1,40.0,1723.6005,1967.8528
179,line,0,41.0,1994.4017,1989.0918
179,line,1,41.0,337.73572,2371.4004
180,line,0,41.0,698.8041,2222.724
180,line,1,41.0,40.385803,2355.4702
181,line,0,41.0,560.7486,1840.4167
181,line,1,41.0,948.36597,2498.8345
182,line,0,41.0,964.2954,2541.3137
182,line,1,41.0,1282.8848,2759.017
183,line,0,41.0,1548.3762,2153.6965
183,line,1,41.0,980.2247,3911.2466
184,line,0,41.0,4033.375,2764.3264
184,line,1,41.0,3189.1133,3215.662
185,line,0,41.0,2228.034,66.93479
185,line,1,41.0,2228.034,1330.6735
186,line,0,41.0,2228.034,1399.7012
186,line,1,41.0,2020.9504,2063.4302
187,line,0,41.0,3417.435,698.8041
187,line,1,41.0,3056.3677,1261.645
188,line,0,41.0,3029.8179,1585.545
188,line,1,41.0,3656.3772,2063.4294
189,line,0,41.0,2254.5833,629.77637
189,line,1,41.0,3151.942,88.17438
190,line,0,41.0,3035.1277,1410.3208
190,line,1,41.0,2806.8037,2174.9358
191,line,0,41.0,2265.203,1176.6885
191,line,1,41.0,3459.9116,1314.7443
192,line,0,41.0,3024.508,263.39835
192,line,1,41.0,2838.6633,1208.5479
193,line,0,42.0,1256.3358,2939.5508
193,line,1,42.0,1930.6846,1389.0795
194,line,0,42.0,1978.4722,406.76367
194,line,1,42.0,1898.8246,1357.2228
195,line,0,42.0,2451.0466,4017.4453
195,line,1,42.0,1691.7422,3369.6462
196,line,0,42.0,1649.263,3300.619
196,line,1,42.0,1389.081,2705.9197
197,line,0,43.0,1930.6837,40.385662
197,line,1,43.0,1075.8008,491.72086
198,line,0,43.0,2424.4976,1643.9531
198,line,1,43.0,874.031,2397.9458
199,line,0,43.0,3289.9993,2605.0317
199,line,1,43.0,2620.9612,3916.5579
200,line,0,43.0,3502.3923,3778.5032
200,line,1,43.0,2525.3838,3199.7322
201,line,0,43.0,374.9047,2822.7346
201,line,1,43.0,-18.022491,2960.7898
202,line,0,43.0,1590.8549,1219.1671
202,line,1,43.0,1436.87,2036.8806
203,line,0,44.0,1739.53,1590.8549
203,line,1,44.0,2992.6487,2721.8477
204,line,0,44.0,751.90234,1951.9231
204,line,1,44.0,730.66266,2652.819
205,line,0,44.0,3348.4072,916.50696
205,line,1,44.0,2689.9895,858.90594
206,line,0,45.0,1351.9127,385.52435
206,line,1,45.0,412.07336,661.63513
207,line,0,45.0,1543.0664,555.4388
207,line,1,45.0,1097.041,709.4237
208,line,0,45.0,2265.203,1240.4064
208,line,1,45.0,2913.0005,2233.3433
209,line,0,46.0,3544.8708,1256.3358
209,line,1,46.0,2121.839,3098.8438
210,line,0,47.0,1479.3485,1851.0364
210,line,1,47.0,502.3405,2472.2847
211,line,0,47.0,2201.4849,852.78906
211,line,1,47.0,1166.0708,2382.0178
212,line,0,47.0,2785.5657,2159.0063
212,line,1,47.0,1643.9531,1500.5859
213,line,0,47.0,1601.4745,1606.7844
213,line,1,47.0,874.0286,1197.9271
214,line,0,47.0,2238.6536,1346.6029
214,line,1,47.0,3576.7324,2557.2407
215,line,0,48.0,475.7914,2514.7646
