index,shape-type,vertex-index,axis-0,axis-1,axis-2
122,line,0,21,2270.7456,1017.9386
122,line,1,21,2477.8281,2563.0986
123,line,0,21,1113.2036,2488.7605
123,line,1,21,688.4176,2488.7605
124,line,0,21,2674.2925,1968.3975
124,line,1,21,2095.5227,2547.1685
125,line,0,21,2095.5215,2547.1685
125,line,1,21,1718.5238,2738.3223
126,line,0,21,2228.267,2509.9998
126,line,1,21,3396.4312,2674.604
127,line,0,21,3407.0486,2663.9846
127,line,1,21,3624.751,2632.1257
128,line,0,22,1410.5538,1288.7397
128,line,1,22,1410.5538,1644.4976
129,line,0,22,1399.9342,1644.498
129,line,1,22,1086.654,1994.947
130,line,0,23,927.3597,1299.3594
130,line,1,23,1755.6923,2605.5762
131,line,0,23,1644.1862,773.68665
131,line,1,23,608.7698,1453.3444
132,line,0,23,598.15045,1469.2738
132,line,1,23,343.27872,2892.307
133,line,0,23,1522.0602,550.6739
133,line,1,23,2159.2407,1957.7793
134,line,0,23,1904.3677,1740.075
134,line,1,23,2759.2495,2111.763
135,line,0,23,2753.94,2244.5085
135,line,1,23,1766.3123,2244.5085
136,line,0,23,2679.6023,1490.5132
136,line,1,23,2079.5933,2233.8887
137,line,0,23,2090.2117,2233.889
137,line,1,23,1702.5945,2563.0974
138,line,0,23,1936.2267,1798.483
138,line,1,23,1814.1008,2106.4531
139,line,0,23,1824.7203,2095.8333
139,line,1,23,1564.5387,2292.2974
140,line,0,23,3279.6125,625.0115
140,line,1,23,3592.8933,1081.6565
141,line,0,24,868.9516,2748.942
141,line,1,24,1665.4265,4033.9233
142,line,0,24,1293.7377,2138.312
142,line,1,24,1899.0571,2138.312
143,line,0,24,1819.4105,428.5479
143,line,1,24,1792.8617,2138.3123
144,line,0,24,746.8256,1060.4172
144,line,1,24,1734.4529,1718.8354
145,line,0,24,1739.7631,1718.8357
145,line,1,24,2615.8845,1469.2739
146,line,0,24,2191.0984,927.6716
146,line,1,24,3072.5286,1782.5535
147,line,0,24,2541.5469,322.3514
147,line,1,24,2265.4346,959.5305
148,line,0,24,906.12036,1140.0646
148,line,1,24,1713.214,1150.6842
149,line,0,25,284.87073,1952.468
149,line,1,25,1527.3696,1947.1733
150,line,0,25,1527.37,1947.1582
150,line,1,25,1814.1006,1947.1582
151,line,0,25,1798.1711,1941.8484
151,line,1,25,2525.617,2133.0024
152,line,0,25,3311.4717,2244.5085
152,line,1,25,3922.1008,2525.9321
153,line,0,25,3683.1594,2186.1003
153,line,1,25,3683.1594,2584.337
154,line,0,25,2700.8416,3540.106
154,line,1,25,2615.8845,4071.0881
155,line,0,26,1856.5792,1846.2715
155,line,1,26,1532.6797,2494.0696
156,line,0,26,1532.6798,2494.0703
156,line,1,26,1378.6938,3524.1748
157,line,0,26,1378.695,3524.1765
157,line,1,26,1569.8484,3874.6252
158,line,0,26,2100.8313,2531.239
158,line,1,26,1649.4978,3269.3066
159,line,0,26,1660.1157,2504.69
159,line,1,26,1830.0298,2871.0679
160,line,0,26,1840.6498,2398.4934
160,line,1,26,2222.957,2616.196
161,line,0,26,2207.0278,2605.5767
161,line,1,26,2557.4756,2940.095
162,line,0,26,1654.8059,1251.5709
162,line,1,26,1017.62683,1517.0623
163,line,0,26,1782.2417,1410.8657
163,line,1,26,1166.3022,1708.2158
164,line,0,26,1798.1711,1692.2865
164,line,1,26,1314.9763,2223.269
165,line,0,26,1835.34,2387.8738
165,line,1,26,1288.4277,2467.521
166,line,0,26,491.95395,3333.0227
166,line,1,26,523.81287,3640.9922
0,line,0,27,550.12897,932.43646
0,line,1,27,2132.4585,2148.386
1,line,0,27,1075.8018,990.84454
1,line,1,27,364.2851,1304.1244
2,line,0,27,2275.8225,1304.1243
2,line,1,27,2828.044,2307.681
3,line,0,27,2445.7368,2042.1901
3,line,1,27,3539.5608,2148.3865
4,line,0,27,3539.561,2148.3867
4,line,1,27,4065.2341,1962.5422
5,line,0,27,3433.3645,1707.671
5,line,1,27,3109.4653,2796.185
6,line,0,27,3109.465,2796.1853
6,line,1,27,2774.9463,3385.5764
7,line,0,28,1893.515,311.1868
7,line,1,28,2265.2024,1086.4215
8,line,0,28,2509.4548,581.9879
8,line,1,28,2132.4578,1309.4341
9,line,0,28,3321.8582,629.77637
9,line,1,28,3321.8582,2339.5403
10,line,0,28,3141.3242,1181.9983
10,line,1,28,2838.6704,1596.165
11,line,0,28,3088.2258,1001.4642
11,line,1,28,4059.9219,3332.482
12,line,0,28,693.49426,1516.5173
12,line,1,28,518.27,3109.4648
13,line,0,28,693.49426,1978.4722
13,line,1,28,1213.8574,2217.414
14,line,0,28,1213.8572,2217.4143
14,line,1,28,1314.7441,2589.1023
15,line,0,28,2350.16,2137.767
15,line,1,28,1527.1373,2472.2854
16,line,0,29,1047.5725,2161.1099
16,line,1,29,2858.2239,1592.9597
17,line,0,29,2868.843,1592.9584
17,line,1,29,3840.541,2123.9412
18,line,0,30,792.7009,483.2047
18,line,1,30,2279.4517,4046.102
19,line,0,30,967.9252,31.86949
19,line,1,30,1047.5725,1672.6055
20,line,0,30,840.4893,642.4995
20,line,1,30,490.04086,1061.9758
21,line,0,30,2311.3113,461.9654
21,line,1,30,3665.3179,3361.1316
22,line,0,30,3596.289,1024.807
22,line,1,30,3224.6018,1502.6912
23,line,0,30,3224.6013,1502.6913
23,line,1,30,3044.0674,1980.5752
24,line,0,30,3044.0671,1980.5757
24,line,1,30,2284.7617,2952.274
25,line,0,30,2263.5227,2984.1328
25,line,1,30,2173.2559,3748.7468
26,line,0,31,1652.8927,1725.704
26,line,1,31,3208.672,2559.3474
27,line,0,31,3208.6719,2559.3467
27,line,1,31,4074.1719,2548.727
28,line,0,32,1520.1471,1991.1953
28,line,1,32,2529.0134,2394.7415
29,line,0,32,2210.4246,3138.1177
29,line,1,32,2757.3362,3552.2844
