index,axis-0,axis-1,axis-2,Unnamed: 4
344,10,3024.741,2568.407846,
345,10,3157.486653,2509.999759,
346,10,3226.514393,2531.239063,
347,10,3253.063523,2594.956976,
348,10,3486.695873,2143.621756,
349,10,3417.668133,2196.720017,
350,10,3821.214918,1894.059928,
351,10,948.5989864,3125.939589,
352,10,741.5157676,3556.035505,
353,10,773.3747244,3672.851679,
354,10,874.2614207,3688.781158,
355,10,1086.654466,3736.569593,
356,10,1113.203596,3487.007765,
357,10,1086.654466,3582.584635,
358,10,3550.413786,226.7745261,
359,11,1224.709945,2536.548889,
360,11,2127.380385,2138.31193,
361,11,2249.506386,2196.720017,
362,11,2318.534126,2308.226366,
363,11,2238.886734,2377.254105,
364,11,2366.322561,2207.33967,
365,11,2414.110996,2164.861061,
366,11,2499.068214,2292.296888,
367,11,2499.068214,2488.760454,
368,11,2732.700563,2605.576629,
369,11,2822.967607,2648.055238,
370,11,2833.58726,2727.70263,
371,11,2923.854304,2908.236718,
372,11,2711.461259,2775.491065,
373,12,2573.40578,274.5629612,
374,12,2525.617345,359.5201792,
375,12,2631.813867,364.8300053,
376,12,2594.645084,428.5479188,
377,12,2711.461259,396.688962,
378,12,1771.622035,1012.628792,
379,12,1861.889079,1023.248444,
380,12,1899.057862,1086.966358,
381,12,1718.523774,1140.064619,
382,12,1861.889079,1187.853054,
383,12,2175.168821,1325.908533,
384,12,2435.3503,1331.218359,
385,12,2456.589605,1442.724708,
386,12,2541.546823,1522.3721,
387,12,253.0117644,3487.007765,
388,12,406.996722,3545.415852,
389,12,539.742375,3598.514113,
390,12,868.9515945,3890.55455,
391,12,1060.105335,3970.201942,
392,12,1176.92151,4023.300203,
393,12,1198.160814,3964.892116,
394,13,1044.175857,3263.995068,
395,13,1049.485683,3412.670199,
396,13,1060.105335,3508.247069,
397,13,916.7400296,3460.458634,
398,13,969.8382909,3646.302549,
399,13,953.9088125,3821.526811,
400,13,1065.415161,3864.00542,
401,13,1102.583944,4017.990377,
402,13,1182.231336,4044.539508,
403,13,1107.89377,3789.667854,
404,13,1145.062553,3826.836637,
405,13,2015.874037,1522.3721,
406,13,2111.450907,1686.97671,
407,13,2238.886734,1963.087668,
408,13,2408.80117,1968.397494,
409,13,2451.279779,2148.931582,
410,13,2615.884389,2217.959322,
411,13,2637.123693,2425.042541,
412,13,2753.939868,2361.324627,
413,13,2817.657781,2472.830976,
414,13,2812.347955,2642.745412,
415,13,2445.969953,1745.384797,
416,13,2557.476301,1766.624101,
417,13,2812.347955,2207.33967,
418,13,3014.121348,2409.113062,
419,13,3083.149087,2472.830976,
420,13,3141.557175,2573.717672,
421,14,1957.46595,1426.79523,
422,14,1946.846297,1989.636799,
423,14,1936.226645,2722.392803,
424,15,2828.277433,348.9005269,
425,15,2817.657781,444.4773971,
426,15,2695.53178,423.2380926,
427,15,2945.093608,816.1652257,
428,15,2976.952565,938.2912265,
429,15,3083.149087,970.1501832,
430,15,3481.386046,1649.807927,
431,15,3157.486653,1941.848363,
432,15,3003.501696,2042.73506,
433,15,2679.602302,2286.987061,
434,15,2217.647429,2467.52115,
435,15,2387.561865,2488.760454,
436,15,1389.314554,3428.599678,
437,15,1309.667163,3646.302549,
438,15,1033.556204,2971.954631,
439,15,969.8382909,2918.85637,
440,15,1336.216293,3784.358028,
441,16,2090.211603,1458.654186,
442,16,1559.22899,1564.850709,
443,16,1415.863685,1771.933928,
444,16,1346.835946,3072.841327,
445,16,1569.848643,3104.700284,
446,16,1532.67986,3179.03785,
447,17,566.2915056,853.3340085,
448,17,523.8128966,954.2207048,
449,17,422.9262003,1240.951315,
450,17,481.3342877,1309.979055,
451,17,1113.203596,922.3617481,
452,17,1203.47064,821.4750518,
453,17,1272.49838,704.6588771,
454,17,1596.397773,322.3513963,
455,17,1537.989686,587.8427024,
456,17,1872.508732,2175.480713,
457,17,2143.309864,2074.594017,
458,17,2323.843952,2143.621756,
459,17,2207.027777,2090.523495,
460,17,2477.828909,2196.720017,
461,17,2690.221954,2223.269148,
462,17,2642.433519,2249.818279,
463,17,2812.347955,2276.367409,
