index,shape-type,vertex-index,axis-0,axis-1,axis-2
149,line,1,39.0,3189.1108,1978.4714
150,line,0,39.0,2849.2837,1489.9681
150,line,1,39.0,3045.7468,1803.2478
151,line,0,39.0,3114.775,2015.641
151,line,1,39.0,2716.5388,1734.2208
152,line,0,39.0,2700.6086,1728.9104
152,line,1,39.0,2047.4998,1914.7542
153,line,0,39.0,1012.08386,2573.1726
153,line,1,39.0,1601.4747,2796.185
154,line,0,39.0,2445.7368,3778.5032
154,line,1,39.0,2939.5498,3959.037
155,line,0,39.0,3736.0247,2084.6687
155,line,1,39.0,3236.901,2084.6687
156,line,0,40.0,677.5648,2504.145
156,line,1,40.0,1606.7844,2806.8044
157,line,0,40.0,3252.8306,1065.1821
157,line,1,40.0,1941.2979,2748.398
158,line,0,41.0,1463.4191,1251.026
158,line,1,41.0,1596.1644,2005.0208
159,line,0,41.0,1675.8121,1436.8699
159,line,1,41.0,1675.8121,1898.8248
160,line,0,41.0,1712.9808,1925.3739
160,line,1,41.0,2286.4417,2551.933
161,line,0,41.0,2058.1196,1835.1069
161,line,1,41.0,2392.638,2541.3142
162,line,0,42.0,2143.077,1261.6456
162,line,1,42.0,1935.9915,2594.412
163,line,0,42.0,2504.145,2127.1472
163,line,1,42.0,1590.8557,3088.2246
164,line,0,42.0,3465.2234,1925.3739
164,line,1,42.0,2976.7192,2350.1604
165,line,0,42.0,2944.8606,2371.3994
165,line,1,42.0,2015.6418,2732.4668
166,line,0,43.0,2753.7068,2328.9207
166,line,1,43.0,1410.3237,2881.1418
167,line,0,43.0,1866.9658,1495.2781
167,line,1,43.0,1309.4333,1548.3765
168,line,0,44.0,2833.3542,1043.9427
168,line,1,44.0,1787.318,1904.1355
169,line,0,45.0,1728.9104,2015.641
169,line,1,45.0,528.8895,3051.0564
170,line,0,45.0,1405.011,3730.7148
170,line,1,45.0,720.04364,3730.7148
171,line,0,45.0,88.174095,3162.5635
171,line,1,45.0,672.2547,3725.4038
172,line,0,45.0,316.4966,3412.1252
172,line,1,45.0,141.27235,3518.3218
173,line,0,45.0,45.695488,3794.4326
173,line,1,45.0,348.35553,4091.7825
174,line,0,45.0,3996.206,544.81915
174,line,1,45.0,3003.2683,1075.802
175,line,0,46.0,1675.8121,1086.4214
175,line,1,46.0,932.43604,1431.5603
176,line,0,46.0,2084.6687,3189.1125
176,line,1,46.0,2132.457,4075.8542
177,line,0,46.0,1654.5728,1304.1243
177,line,1,46.0,1612.0942,2759.0168
178,line,0,46.0,1564.3058,863.4087
178,line,1,46.0,2243.9634,2020.952
179,line,0,46.0,2302.3716,831.54974
179,line,1,46.0,1654.5742,1691.7402
180,line,0,46.0,1670.5023,56.31514
180,line,1,46.0,1803.2477,385.52448
181,line,0,47.0,353.6654,826.2399
181,line,1,47.0,889.9576,921.8166
182,line,0,47.0,895.26764,943.0561
182,line,1,47.0,1357.2217,1617.4028
183,line,0,47.0,1367.8422,1633.3335
183,line,1,47.0,1367.8422,2966.0996
184,line,0,47.0,905.8873,2052.8098
184,line,1,47.0,1776.699,2849.284
185,line,0,47.0,2132.457,2509.4548
185,line,1,47.0,1028.0151,3305.927
186,line,0,47.0,3390.886,1893.515
186,line,1,47.0,2684.6797,1994.4016
187,line,0,47.0,2371.3994,2578.4827
187,line,1,47.0,2944.8604,3406.816
188,line,0,48.0,109.4134,1845.7266
188,line,1,48.0,996.15485,2238.6528
189,line,0,48.0,990.84454,2238.6536
189,line,1,48.0,1521.8276,2780.2585
190,line,0,48.0,1532.4468,2796.1853
190,line,1,48.0,1766.0791,3162.5637
191,line,0,49.0,1755.4595,2350.16
191,line,1,49.0,2514.764,2562.5542
192,line,0,49.0,2530.694,2578.4827
192,line,1,49.0,2966.0989,3215.6606
193,line,0,49.0,2982.0293,3236.901
193,line,1,49.0,3029.8174,4081.1633
194,line,0,49.0,2530.694,3720.0952
194,line,1,49.0,2934.2417,4075.8528
195,line,0,49.0,2477.596,3374.9565
